Submission id;Participant id;Status;Custom study tncs accepted at;Started at;Completed at;Reviewed at;Archived at;Time taken;Completion code;Total approvals;Fluent languages;Age;Sex;Ethnicity simplified;Country of birth;Country of residence;Nationality;Language;Student status;Employment status
6831e4e6ab677065fdcb45c8;6658b838fa019e8f175c7bf4;APPROVED;Not Applicable;2025-05-24T15:35:11.508000Z;2025-05-24T15:50:12.453000Z;2025-05-24T15:50:13.079000Z;2025-05-24T15:50:12.994756Z;901;72AAC84F;1434;English, Welsh;27;Male;White;United Kingdom;United Kingdom;United Kingdom;English;Yes;Full-Time
6831e4e82f1a87194eba990f;66904bbd1eb9bb790b9b0f6f;APPROVED;Not Applicable;2025-05-24T15:29:08.480000Z;2025-05-24T15:58:21.638000Z;2025-05-24T15:58:22.629000Z;2025-05-24T15:58:22.552074Z;1754;72AAC84F;937;English;20;Male;White;United Kingdom;United Kingdom;United Kingdom;English;Yes;Full-Time
6831e4f9d6a51258b91ebd16;572f526c3c27e7000e0b8aaa;APPROVED;Not Applicable;2025-05-24T15:26:40.636000Z;2025-05-24T15:38:23.365000Z;2025-05-24T15:38:23.960000Z;2025-05-24T15:38:23.880328Z;703;72AAC84F;6179;English;35;Male;White;United Kingdom;United Kingdom;United Kingdom;English;DATA_EXPIRED;Full-Time
6831e5296480620036f311fa;6658c4239af9537eefdfbcc9;APPROVED;Not Applicable;2025-05-24T15:26:38.688000Z;2025-05-24T15:33:30.416000Z;2025-06-02T07:21:31.234000Z;2025-05-24T15:33:30.950760Z;412;72AAC84F;957;English;32;Female;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6831e52cb9fc3720108ed7ae;5eaac1b48d712102356b170f;APPROVED;Not Applicable;2025-05-24T15:27:24.952000Z;2025-05-24T15:37:09.093000Z;2025-06-02T07:21:57.821000Z;2025-05-24T15:37:09.861552Z;585;72AAC84F;1685;English;26;Female;Black;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6831e54fd5d24f584522f5a7;6828e82b6203ff31c97ff7d0;APPROVED;Not Applicable;2025-05-24T15:28:11.515000Z;2025-05-24T15:42:42.293000Z;2025-05-24T15:42:42.959000Z;2025-05-24T15:42:42.876097Z;871;72AAC84F;43;English, Swahili;31;Male;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6831e571121859b6056302ae;5b6db242d2eae00001934fd9;APPROVED;Not Applicable;2025-05-24T15:27:54.813000Z;2025-05-24T15:34:16.554000Z;2025-06-02T07:22:05.363000Z;2025-05-24T15:34:17.074045Z;382;72AAC84F;798;English;33;Female;White;United Kingdom;United Kingdom;United Kingdom;English;No;Full-Time
6831e5849fe82dc5e3356082;665adfcc9f26520c4307e228;APPROVED;Not Applicable;2025-05-24T15:28:04.947000Z;2025-05-24T15:43:46.240000Z;2025-05-24T15:43:46.971000Z;2025-05-24T15:43:46.870140Z;942;72AAC84F;1008;English;31;Male;Black;United Kingdom;United Kingdom;United Kingdom;English;No;DATA_EXPIRED
6831e62b50b4d3d51d56ad99;61673b692a55fba0f6b8abf1;APPROVED;Not Applicable;2025-05-24T15:30:51.741000Z;2025-05-24T15:40:07.600000Z;2025-06-02T07:22:14.191000Z;2025-05-24T15:40:08.119376Z;556;72AAC84F;1097;Bulgarian, English;32;Female;White;Bulgaria;United Kingdom;Bulgaria;Bulgarian;No;Full-Time
6831e6d60d94cd215ba31c07;669822e8dc9cf1a2a30dc3e5;APPROVED;Not Applicable;2025-05-24T15:33:48.474000Z;2025-05-24T15:46:03.018000Z;2025-05-24T15:46:05.181000Z;2025-05-24T15:46:03.614382Z;735;72AAC84F;587;English;33;Female;White;United Kingdom;United Kingdom;United Kingdom;English;No;Part-Time
